search_criteria,course_name,course_description,rating,no_of_reviews,duration,lectures,levels,badge,original_price,discounted_price
data science,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,4.6,11334.0,18.0,127.0,All Levels,,12480.0,455.0
data science,Data Science 2020 : Complete Data Science & Machine Learning,"Machine Learning A-Z, Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science",4.5,937.0,26.5,281.0,All Levels,,12800.0,455.0
data science,Mastering Data Science and Machine Learning Fundamentals,"A Beginner Course in Data Science, Machine Learning, Regression, Classification and Clustering in 2020 [THEORY ONLY]",4.2,1279.0,2.0,19.0,All Levels,,12800.0,455.0
data science,Data Analysis & Visualization Bootcamp - 2020 BESTSELLER,Financial Data Analysis and Visualization with Python: The HighQuality Study kit ranked as bestseller,4.4,2776.0,8.0,45.0,Beginner,,,1920.0
data science,Data Science & Deep Learning for Business™ 20 Case Studies,"Use Python to solve problems in Retail, Marketing, Product Recommendation, Customer Clustering, NLP, Forecasting & more!",4.3,535.0,20.5,187.0,All Levels,,12800.0,455.0
data science,Python for Data Science and Machine Learning beginners,produced by -- When maths meet coding,4.6,131.0,7.5,64.0,Beginner,,1280.0,455.0
data science,Learn Regression Analysis for Business,Learn Regression Analysis and build your own Regression Model step by step through real business scenarios,4.6,155.0,3.5,56.0,All Levels,,1280.0,455.0
data science,Learn Data Warehousing and Analysis with Microsoft BI Tools,"Learn how extract, clean and load data in a database using Microsoft Excel and Business Intelligence tools",4.5,264.0,5.0,77.0,All Levels,,1280.0,455.0
data science,TABLEAU 2018: Hands-On Tableau Training For Data Science!,Learn Tableau for Data Science step-by-step. Real-Life Data Analytics Exercises & Quizzes Included. Learn by doing!,4.6,1754.0,8.0,75.0,All Levels,,12800.0,455.0
data science,Learn Business Data Analysis with SQL and Tableau,Improve your Business Analytical Skills with with SQL and Data Visualization,4.3,352.0,4.0,87.0,Beginner,,1280.0,455.0
data science,Learn Data Mining and Machine Learning With Python,Learn how to create Machine Learning algorithms in Python and use them in Data Mining,4.2,229.0,6.5,81.0,All Levels,,1280.0,455.0
data science,Learn Data Analytics and Visualization with Tableau from A-Z,Learn Data Visualization and Analytics Using Tableau from the basic to advanced level using Real-Life Projects,4.3,200.0,3.5,61.0,Beginner,,1280.0,455.0
data science,Python & Introduction to Data Science,Learn the basics of Python and the most important Data Science libraries with this step by step guide!,4.2,970.0,9.0,68.0,Beginner,,6080.0,455.0
data science,Colors for Data Science A-Z: Data Visualization Color Theory,Learn how to apply colour theory to improve your Data Science & Analytics data visualisations and presentations,4.3,755.0,4.0,34.0,All Levels,,10880.0,455.0
data science,"Intro to Big Data, Data Science and Artificial Intelligence","Big Data Technology & Tools for Non-Technical Leaders. Industry expert insights on IoT, AI and Machine Learning for all.",4.3,353.0,3.5,80.0,Beginner,,,2560.0
photography,Photography Masterclass: A Complete Guide to Photography,,4.6,38070.0,,,,,12800.0,455.0
photography,Premiere Pro CC for Beginners: Video Editing in Premiere,,4.6,21711.0,,,,,6400.0,455.0
photography,Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,,4.4,5982.0,,,,,12800.0,455.0
photography,Photography - Become a Better Photographer - Part I,,4.5,1633.0,,,,,2240.0,455.0
photography,Photography Masterclass: A Complete Guide to Photography,The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,4.6,38070.0,22.5,343.0,All Levels,,12800.0,455.0
photography,Premiere Pro CC for Beginners: Video Editing in Premiere,Learn how to edit videos in Adobe Premiere Pro with these easy-to-follow Premiere Pro video editing tutorials.,4.6,21711.0,12.0,131.0,All Levels,,6400.0,455.0
photography,iPhone Photography | Take Professional Photos On Your iPhone,Your Online Guide to Taking Stunning iPhone Photography Like a Professional Digital Photographer,4.7,10625.0,1.5,23.0,Beginner,,3200.0,481.0
